id,year,country,state_province,district,actors,side_a,side_b,conflict,deaths_a,deaths_b,deaths_civilians,deaths_unknown,deaths_total,latitude,longitude,location_name,headline,date,month,month_name,year_month,violence_type,severity
416593,2021,Cameroon,Far North region,Logone-et-Chari department,Government of Cameroon - IS,Government of Cameroon,IS,Cameroon: Islamic State,0,3,0,0,3,12.5514,14.25867,"Sagme village, Logone-et-Chari division","Cameroon SEPTEMBER 2021;The only place where we know for sure ISWAP is active are the edges of Lake Chad;An attack in Sagmé last night, three Cameroonian soldiers wounded and there ISWAP;#Cameroun : au moins trois combattants de #BokoHaram ont été tués",2021-09-25,9,Sep,2021-09,State-based conflict,Low (1–5)
416656,2021,Cameroon,North-West region,Bui département,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,Cameroon: Ambazonia,1,0,0,0,1,6.2,10.66667,"in Kumbo, Bui Division","Cameroon: Explosion leaves soldier dead, others injured in Kumbo",2021-09-25,9,Sep,2021-09,State-based conflict,Low (1–5)
416662,2021,Cameroon,North-West region,Donga-Mantung département,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,Cameroon: Ambazonia,1,0,0,0,1,6.426189,10.793724,"in Ndu, Donga Mantung Division in the North West Region; around the Njinko Baptist Church; other parts of the locality notably the Total filling station and the Ndu park",Cameroon:Ambazonia fighters kill soldier in Ndu,2021-09-26,9,Sep,2021-09,State-based conflict,Low (1–5)
416370,2021,Cameroon,North-West region,Mezam département,Government of Cameroon - Ambazonia insurgents,Government of Cameroon,Ambazonia insurgents,Cameroon: Ambazonia,1,0,0,0,1,6.08442,10.129668,"in Bafut, North West Region of Cameroon","Cameroon: Ambazonia fighters attack, look Bafut Gendarmerie unit",2021-09-26,9,Sep,2021-09,State-based conflict,Low (1–5)
416431,2021,Nigeria,Yobe state,Tarmuwa lga,Government of Nigeria - IS,Government of Nigeria,IS,Nigeria: Islamic State,0,2,0,0,2,12.1076,11.7539,Babangida community in Tarmuwa local government area of Yobe State,"Troops Repel Attack, Eliminate Several Bandits in Sokoto;IS claims killing five soldiers in Nigeria's Yobe",2021-09-26,9,Sep,2021-09,State-based conflict,Low (1–5)
416423,2021,Nigeria,Borno state,Kukawa lga,Government of Nigeria - IS,Government of Nigeria,IS,Nigeria: Islamic State,0,0,0,28,28,12.803918,13.840996,"Kwatar Daban Masara

///

at Daban Masara in Kukawa Local Government Area of the State","Personally, I am inclined to believe this airstrike was botched and civilian lives were indeed lost;Military denies killing villagers during counter-insurgency operations in Borno;Military Airstrikes Kill 28 ISWAP’s Collaborators Delivering Logistics at Kukawa;Nigeria air strike kills 20 fishermen: sources;Nigerian air force kills dozens of civilians in northeast - sources",2021-09-26,9,Sep,2021-09,State-based conflict,High (21–50)
416466,2021,Nigeria,Plateau state,Bassa lga,Fulani - Irigwe,Fulani,Irigwe,Fulani - Irigwe,1,0,0,0,1,10.083333,8.733333,in Kafigana in Jebu District of Bassa Local Government Area of Plateau State,Teenage Cattle Herder Shot Dead in Plateau,2021-09-26,9,Sep,2021-09,Non-state conflict,Low (1–5)
416469,2021,Nigeria,Borno state,Kukawa lga,IS - JAS,IS,JAS,IS - JAS,0,0,0,101,101,12.79305,14.12087,"Kirta Wulgo island

""They gathered at Tumbun Ali island in the Nigerian side of the lake and dislodged six ISWAP checkpoints before taking over Kirta Wulgo""","Nigeria jihadist infighting kills scores in Lake Chad: local sources;Boko Haram, ISWAP Fighters’ Clash Claims Scores In Northeast Nigeria",2021-09-27,9,Sep,2021-09,Non-state conflict,Severe (50+)
416543,2021,Nigeria,Sokoto state,Sabon Birni lga,IS - Civilians,IS,Civilians,IS - Civilians,0,0,0,0,0,13.43318,6.373833,"in Gatawa, a village in Sabon Birni","Bandits Kill 20, Abduct Others in Attack On 'Impenetrable' Sokoto Community;Nigeria: ISWAP terrorists invade Gatawa village, Sokoto State, kill 24 residents, abduct many, loots foodstuff, other valuables",2021-09-28,9,Sep,2021-09,One-sided (civilians),No deaths recorded
416538,2021,Nigeria,Sokoto state,Sabon Birni lga,IS - Civilians,IS,Civilians,IS - Civilians,0,0,0,0,0,13.3382,6.47454,the Gangara community in the Sabon Birni Local Government Area,"Gunmen kill several villagers in Nigeria's Sokoto State;Nigeria: ISWAP terrorists invade Gatawa village, Sokoto State, kill 24 residents, abduct many, loots foodstuff, other valuables",2021-09-28,9,Sep,2021-09,One-sided (civilians),No deaths recorded
